rake, Paddle
discuss, ASL-B
strawberry, Paddle
average, Paddle
power, Fist Thumb Out
continue, o
translate, p
chase, Thumbs Up
week, Reach
keyboard, c
sentence, Paddle
tea, Paddle
straight, Reach
next, Paddle
please, Paddle
promote, Reach
excuse, Reach
weather, Paddle
birthday, Paddle
dolphin, Paddle
divide, Paddle
best, Paddle
sick, Reach
internet, Reach
small, Reach
our, Reach
clear, c
sensitive, Reach
nut, c
honest, Reach
team, l
evidence, Paddle
disappear, Paddle
brave, Fist
rich, c
maybe, Reach
concept, Paddle
year, Reach
salad, c
dream, p
future, Reach
heart, Reach
queen, Reach
boy, Paddle
together, Thumbs Up
postpone, Paddle
announce, p
devil, v
memorize, Reach
fault, Reach
electrician, Fist Thumb Out
onion, Paddle
hurry, v
normal, Paddle
appointment, Fist
snow, o
joke, bent_v
sunrise, Paddle
pumpkin, Paddle
chair, v
me, Reach
choke, Reach
grandfather, Reach
yesterday, o
music, Paddle
certificate, Paddle
green, Reach
shelf, Paddle
bring, Reach
open, Paddle
delicious, Reach
meat, Paddle
basement, o
myself, Reach
die, Paddle
stir, Paddle
act, Thumbs Up
desert, c
truth, Reach
hurricane, p
learn, Reach
wish, Paddle
doll, Reach
person, v
listen, Reach
body, Reach
tennis, Reach
cook, Reach
bright, o
university, Paddle
push, Reach
idea, Reach
sad, Reach
bath, Fist Thumb Out
technology, Fist Thumb Out
muscle, o
hockey, Paddle
will, Reach
clothes, Reach
name, v
home, Paddle
college, Reach
lesson, Paddle
bird, Paddle
gamble, o
popular, v
nurse, Reach
north, Paddle
hurt, p
taste, Reach
catholic, Paddle
center, Reach
toast, Reach
minute, o
balance, c
cousin, Paddle
pants, Reach
first, 1
date, c
sfe, Reach
precious, Reach
bad, Paddle
drink, Paddle
egypt, Paddle
room, Reach
business, Paddle
try, Fist Thumb Out
towel, Fist
ugly, Paddle
experiment, c
breakdown, c
throw, c
far, Thumbs Up
process, Paddle
tomorrow, c
lie, Reach
nice, Paddle
test, o
bone, v
dormitory, c
wow, c
and, Paddle
invite, Paddle
family, f
ok, Reach
avoid, o
quiet, Paddle
worry, Paddle
finally, c
boat, Reach
get, Fist
character, Paddle
blood, Paddle
woman, Paddle
soap, Reach
night, Paddle
wind, Reach
summer, c
steal, Fist Thumb Out
bar, o
remember, o
draw, Reach
movie, Paddle
hearing, Reach
perfect, f
you, Reach
vote, Paddle
deny, Thumbs Up
replace, o
fast, l
brush, Reach
feel, Reach
scream, Paddle
quit, Paddle
smoking, Reach
thirsty, Reach
son, Paddle
old, Reach
divorce, c
accomplish, c
mother, Reach
kitchen, Paddle
win, Fist
angry, o
bowl, Paddle
dinosaur, Reach
shy, Reach
shoes, Fist
hanukkah, Paddle
everyday, Reach
event, Reach
there, Reach
cheap, Reach
plus, o
pepper, Paddle
my, Reach
degree, f
drunk, o
forever, Reach
pull, Fist Thumb Out
tree, open_b_tight
volunteer, Reach
sound, Paddle
pay, v
often, Reach
chop, Reach
coffee, o
all, Reach
box, Reach
knife, h
clueless, Paddle
under, o
bored, p
impossible, Reach
rude, Reach
fun, v
with, o
soda, Fist Thumb Out
beer, Paddle
fight, o
ocean, open_b_tight
shame, Paddle
bye, Reach
